# time dst_kyoto dst_l1 dst_stb dst_pers v_l1 v_stb v_pers
732761.00000 -10.00000 -13.95904 -18.19076 -3.46378 436.00000 420.35528 399.92000
732761.04167 -9.00000 -12.43517 -15.65337 -3.08234 443.00000 428.99071 390.20000
732761.08333 -10.00000 -12.05082 -13.07629 -1.09244 444.00000 436.34069 379.36000
732761.12500 -14.00000 -13.20664 -13.81478 -0.04568 450.00000 440.49055 371.84000
732761.16667 -17.00000 -14.97803 -14.86599 0.61648 458.00000 452.81127 364.88000
732761.20833 -20.00000 -12.99363 -15.11216 1.98357 474.00000 452.40903 360.44000
732761.25000 -21.00000 -13.29152 -15.48565 2.12383 490.00000 452.93347 354.32000
732761.29167 -18.00000 -12.58875 -14.57560 3.56000 514.00000 472.74850 354.68000
732761.33333 -20.00000 -13.54609 -13.20115 5.57214 498.00000 491.41270 364.72000
732761.37500 -18.00000 -14.91483 -13.35182 7.20381 483.00000 496.45638 376.24000
732761.41667 -18.00000 -12.10921 -15.63579 8.45442 489.00000 493.18443 382.00000
732761.45833 -17.00000 -11.45373 -21.06713 10.77682 483.00000 464.27560 382.00000
732761.50000 -15.00000 -11.58800 -24.22737 13.83171 483.00000 461.31892 384.08000
732761.54167 -16.00000 -10.11963 -20.39399 16.48605 496.00000 472.18046 392.76000
732761.58333 -15.00000 -10.91732 -22.52311 11.77528 475.00000 467.56210 413.56000
732761.62500 -17.00000 -13.83553 -30.81638 8.11503 470.00000 463.87335 435.32000
732761.66667 -23.00000 -22.59091 -37.24195 9.30031 474.00000 462.37661 434.68000
732761.70833 -24.00000 -28.14990 -38.06655 8.87598 475.00000 464.38221 440.52000
732761.75000 -25.00000 -30.75052 -36.15122 8.18845 451.00000 466.69971 449.36000
732761.79167 -19.00000 -26.71080 -34.54652 8.77013 453.00000 452.21982 456.92000
732761.83333 -12.00000 -22.82078 -32.66027 8.92032 461.00000 431.64809 463.36000
732761.87500 -12.00000 -21.71101 -29.15958 7.51348 447.00000 443.06974 463.64000
732761.91667 -14.00000 -20.43560 -25.62785 5.10087 449.00000 442.45116 469.08000
732761.95833 -14.00000 -16.76204 -23.58050 3.36744 466.00000 436.87502 473.60000
732762.00000 -11.00000 -15.18739 -23.13802 1.75052 463.00000 427.71173 496.28000
732762.04167 -10.00000 -15.92354 -21.09726 -1.91998 456.00000 435.05901 526.96000
