# time dst_kyoto dst_l1 dst_stb dst_pers
183.00000 -11.00000 -12.61431 -6.90408 -12.39679
184.00000 -10.00000 -4.82074 -6.90408 -10.78885
185.00000 -5.00000 -3.90931 -6.57259 -9.49038
186.00000 -5.00000 -4.15214 -9.51996 -7.90858
187.00000 -9.00000 -5.07901 -9.51996 -4.56626
188.00000 -12.00000 -6.14298 -6.36092 -6.13907
189.00000 -12.00000 -6.14298 -6.07780 -6.13907
190.00000 -3.00000 -1.47347 1.00000 -1.84125
191.00000 -7.00000 -0.78976 -0.12028 1.00000
192.00000 -16.00000 -9.23117 -11.71613 1.00000
193.00000 -16.00000 -9.23117 -11.71613 -0.27679
194.00000 -10.00000 -7.61485 -11.11616 -0.27679
195.00000 -9.00000 -3.99149 -10.50751 -6.28851
196.00000 -6.00000 -3.85616 -4.56401 -6.28851
197.00000 -6.00000 -3.01404 -4.56401 -3.35514
198.00000 -2.00000 1.00000 -11.11961 -1.35364
199.00000 -12.00000 -21.48353 -11.11961 -0.67002
200.00000 -15.00000 -21.48353 -21.38391 1.00000
201.00000 -15.00000 -16.04196 -21.38391 1.00000
202.00000 -14.00000 -9.61157 -17.43545 -5.31031
203.00000 -14.00000 -8.64155 -11.11708 -11.01898
204.00000 -11.00000 -8.64155 -8.08433 -11.01898
205.00000 -16.00000 -12.27168 -8.08433 -6.75089
206.00000 -16.00000 -12.27168 -6.71260 -6.75089
207.00000 -12.00000 -10.75924 -3.30123 -6.65271
208.00000 -10.00000 -7.63646 -1.84270 -6.79721
209.00000 -5.00000 -1.82942 -1.79509 -6.99605
210.00000 -5.00000 1.00000 1.00000 -6.99605
211.00000 -15.00000 -10.35482 1.00000 -8.31017
212.00000 -30.00000 -35.70483 -7.23817 -10.91609
213.00000 -33.00000 -35.70483 -12.59769 -10.91609
214.00000 -33.00000 -28.38474 -12.59769 -7.20892
215.00000 -24.00000 -16.33091 -8.43751 -7.20892
216.00000 -22.00000 -14.44557 -8.18480 -5.45282
217.00000 -22.00000 -13.89408 -8.18480 -9.41191
218.00000 -33.00000 -33.59093 -5.95475 -9.41191
219.00000 -39.00000 -42.81991 -12.08979 -8.80818
220.00000 -45.00000 -42.81991 -12.08979 -6.36122
221.00000 -45.00000 -38.33746 -12.44438 -3.11030
222.00000 -30.00000 -21.41211 -12.44438 -0.78510
223.00000 -20.00000 -17.26812 -8.95704 -4.96058
224.00000 -17.00000 -15.77519 -8.95704 -4.96058
225.00000 -17.00000 -15.77519 -6.28579 -0.50641
226.00000 -13.00000 -12.75495 -5.71259 0.63955
227.00000 -9.00000 -8.72587 -5.56836 -2.27487
228.00000 0.00000 -3.97396 -1.75617 -16.22474
229.00000 0.00000 -1.76393 0.07009 -16.22474
230.00000 -25.00000 -37.88340 -11.47932 -16.25905
231.00000 -27.00000 -37.88340 -30.73565 -16.25905
232.00000 -30.00000 -31.67826 -33.45288 -14.63896
233.00000 -30.00000 -29.60024 -33.45288 -13.63715
234.00000 -25.00000 -17.51919 -19.09486 -16.12002
235.00000 -19.00000 -14.94713 -13.18786 -16.12002
236.00000 -16.00000 -12.56853 -14.29797 -10.45543
237.00000 -8.00000 -12.04666 -14.29797 -4.77676
238.00000 -8.00000 -8.68990 -11.51009 -2.64563
239.00000 -5.00000 -5.60026 -9.76242 -4.43961
240.00000 -5.00000 -2.79596 -3.25281 -4.43961
241.00000 -1.00000 -3.32418 -2.62169 -5.58350
242.00000 -1.00000 -3.32418 -2.62169 -5.58350
243.00000 -1.00000 1.00000 -19.27058 1.00000
244.00000 -14.00000 -11.55555 -19.65185 -7.76261
245.00000 -14.00000 -11.87640 -19.65185 -9.11048
246.00000 -11.00000 -11.87640 -9.74948 -9.11048
247.00000 -10.00000 -4.82445 -6.93996 -4.61898
248.00000 -8.00000 -16.09518 -14.46883 -2.94183
249.00000 -13.00000 -17.43756 -14.75685 -2.63144
250.00000 -16.00000 -22.86785 -30.14311 0.22662
251.00000 -16.00000 -22.86785 -30.14311 -17.44622
252.00000 -15.00000 -18.41591 -20.37501 -17.44622
253.00000 -15.00000 -14.48860 -14.87991 -14.38511
254.00000 -14.00000 -16.55176 -14.13422 -10.80185
255.00000 -20.00000 -19.73930 -14.13422 -9.43143
