# time dst_kyoto dst_l1 dst_stb dst_pers v_l1 v_stb v_pers
733635.58333 -5.00000 0.56175 -1.77114 13.19079 272.00000 281.32133 313.40000
733635.62500 -6.00000 1.09823 -1.36801 4.03666 272.00000 279.71627 309.96000
733635.66667 -4.00000 1.80027 0.60556 -3.09402 271.00000 284.80066 307.96000
733635.70833 -4.00000 2.05489 2.11020 -7.16564 270.00000 286.00158 305.96000
733635.75000 -2.00000 1.82306 0.70803 -11.96249 270.00000 284.06701 308.12000
733635.79167 -1.00000 1.54871 1.28641 -15.84404 270.00000 284.06530 308.40000
733635.83333 -2.00000 0.85193 1.93356 -19.18056 269.00000 284.02073 305.48000
733635.87500 -3.00000 1.04161 2.55655 -19.14285 267.00000 285.22112 305.52000
733635.91667 -2.00000 -0.33124 0.54362 -20.61135 268.00000 288.38155 307.56000
733635.95833 0.00000 0.12391 -0.88067 -18.20361 267.00000 285.14760 313.68000
733636.00000 1.00000 0.31758 0.81739 -13.45859 266.00000 289.65834 316.44000
733636.04167 0.00000 0.91152 -0.08563 -13.46988 275.00000 288.51050 318.12000
733636.08333 -1.00000 1.83943 -0.32855 -11.36342 281.00000 286.22904 320.48000
733636.12500 -1.00000 2.66568 0.71174 -8.12500 280.00000 287.67889 318.96000
733636.16667 2.00000 3.46355 1.77820 -6.69821 281.00000 290.69328 312.28000
733636.20833 3.00000 3.78226 0.57360 -5.02366 281.00000 294.91207 302.84000
733636.25000 4.00000 4.97379 -1.37967 -2.40071 280.00000 296.74910 310.44000
733636.29167 6.00000 5.62538 -0.40542 -0.86478 278.00000 296.40780 322.56000
733636.33333 8.00000 5.73434 2.75985 1.24929 275.00000 298.13656 326.08000
733636.37500 9.00000 7.20370 3.67915 2.54915 278.00000 300.77597 333.72000
733636.41667 10.00000 7.86726 2.95592 3.91434 278.00000 304.59891 335.36000
